Ranking,% of Features Dropped,LinearRegression,RandomForestRegressor,XGBRegressor,LGBMRegressor
1,N/A,Close.L2,Close.L11,Close.L12,Close.L1
2,93.75,Close.L1,Close.L12,Close.L11,Close.L2
3,87.5,% Buy.L1,% Buy.L1,Close.L10,Close.L12
4,81.25,Rating.L1,% Hold.L1,Close.L9,Close.L11
5,75.0,% Hold.L1,Close.L10,Close.L8,Close.L8
6,68.75,Close.L3,Close.L9,Close.L7,Close.L7
7,62.5,Close.L4,Close.L8,Close.L6,Close.L3
8,56.25,Close.L5,Close.L7,Close.L5,Close.L4
9,50.0,Close.L6,Close.L6,Close.L4,Close.L6
10,43.75,Close.L7,Close.L5,Close.L3,Close.L5
11,37.5,Close.L8,Close.L4,Close.L2,Close.L10
12,31.25,Close.L9,Close.L3,Close.L1,Close.L9
13,25.0,Close.L10,Close.L2,% Buy.L1,Rating.L1
14,18.75,Close.L11,Close.L1,% Hold.L1,% Buy.L1
15,12.5,Close.L12,Rating.L1,Rating.L1,EPS - Est High (NTM).L1
16,6.25,EPS - Est High (NTM).L1,EPS - Est High (NTM).L1,EPS - Est High (NTM).L1,% Hold.L1
